;series_name;episode_number;season_number;air_date;origin_country;channel;episode_url;duration
70;The Worst of Evil;5;1;04-10-2023;Etats-Unis;Disney+;episode05-410767-04102023-saison1-The-Worst-of-Evil.html;None
71;Un Si Grand Soleil;25;6;04-10-2023;France;France 2;episode25-410927-04102023-saison6-Un-Si-Grand-Soleil.html;None
72;Young Dylan;5;4;04-10-2023;Etats-Unis;Nickelodeon;episode05-410578-04102023-saison4-Young-Dylan.html;None
73;All Creatures Great and Small (2020);1;4;05-10-2023;Royaume-Uni;Channel 5;episode01-410607-05102023-saison4-All-Creatures-Great-and-Small-(2020).html;None
74;À La Carte;4;2;05-10-2023;Etats-Unis;ALLBLK;episode04-410517-05102023-saison2-A-La-Carte.html;None
75;Demain nous appartient;34;7;05-10-2023;France;TF1;episode34-410923-05102023-saison7-Demain-nous-appartient.html;None
76;Everything Now;1;1;05-10-2023;Etats-Unis;Netflix;episode01-410218-05102023-saison1-Everything-Now.html;None
77;Everything Now;2;1;05-10-2023;Etats-Unis;Netflix;episode02-410890-05102023-saison1-Everything-Now.html;None
78;Everything Now;3;1;05-10-2023;Etats-Unis;Netflix;episode03-410891-05102023-saison1-Everything-Now.html;None
79;Everything Now;4;1;05-10-2023;Etats-Unis;Netflix;episode04-410892-05102023-saison1-Everything-Now.html;None
80;Everything Now;5;1;05-10-2023;Etats-Unis;Netflix;episode05-410893-05102023-saison1-Everything-Now.html;None
81;Everything Now;6;1;05-10-2023;Etats-Unis;Netflix;episode06-410894-05102023-saison1-Everything-Now.html;None
82;Everything Now;7;1;05-10-2023;Etats-Unis;Netflix;episode07-410895-05102023-saison1-Everything-Now.html;None
83;Everything Now;8;1;05-10-2023;Etats-Unis;Netflix;episode08-410896-05102023-saison1-Everything-Now.html;None
84;Ici tout commence;29;4;05-10-2023;France;TF1;episode29-410918-05102023-saison4-Ici-tout-commence.html;None
85;Les révoltés;5;1;05-10-2023;Canada;Club illico ;episode05-411201-05102023-saison1-Les-revoltes.html;None
86;Les révoltés;6;1;05-10-2023;Canada;Club illico ;episode06-411202-05102023-saison1-Les-revoltes.html;None
87;Loki;1;2;05-10-2023;Etats-Unis;Disney+;episode01-410901-05102023-saison2-Loki.html;None
88;Lupin;1;3;05-10-2023;Etats-Unis;Netflix;episode01-404379-05102023-saison3-Lupin.html;None
89;Lupin;2;3;05-10-2023;Etats-Unis;Netflix;episode02-404380-05102023-saison3-Lupin.html;None
90;Lupin;3;3;05-10-2023;Etats-Unis;Netflix;episode03-404381-05102023-saison3-Lupin.html;None
91;Lupin;4;3;05-10-2023;Etats-Unis;Netflix;episode04-404382-05102023-saison3-Lupin.html;None
92;Lupin;5;3;05-10-2023;Etats-Unis;Netflix;episode05-404383-05102023-saison3-Lupin.html;None
93;Lupin;6;3;05-10-2023;Etats-Unis;Netflix;episode06-404384-05102023-saison3-Lupin.html;None
94;Lupin;7;3;05-10-2023;Etats-Unis;Netflix;episode07-404385-05102023-saison3-Lupin.html;None
95;Our Flag Means Death;1;2;05-10-2023;Etats-Unis;HBO Max;episode01-409662-05102023-saison2-Our-Flag-Means-Death.html;None
96;Our Flag Means Death;2;2;05-10-2023;Etats-Unis;HBO Max;episode02-409663-05102023-saison2-Our-Flag-Means-Death.html;None
97;Our Flag Means Death;3;2;05-10-2023;Etats-Unis;HBO Max;episode03-409664-05102023-saison2-Our-Flag-Means-Death.html;None
98;Rictus;7;1;05-10-2023;France;OCS;episode07-409050-05102023-saison1-Rictus.html;None
99;Rictus;8;1;05-10-2023;France;OCS;episode08-409051-05102023-saison1-Rictus.html;None
100;Rictus;9;1;05-10-2023;France;OCS;episode09-409052-05102023-saison1-Rictus.html;None
101;Sous contrôle;1;1;05-10-2023;France;Arte;episode01-408741-05102023-saison1-Sous-controle.html;None
102;Sous contrôle;2;1;05-10-2023;France;Arte;episode02-411048-05102023-saison1-Sous-controle.html;None
103;Sous contrôle;3;1;05-10-2023;France;Arte;episode03-411049-05102023-saison1-Sous-controle.html;None
104;Sous contrôle;4;1;05-10-2023;France;Arte;episode04-411050-05102023-saison1-Sous-controle.html;None
105;Sous contrôle;5;1;05-10-2023;France;Arte;episode05-411051-05102023-saison1-Sous-controle.html;None
106;Sous contrôle;6;1;05-10-2023;France;Arte;episode06-411052-05102023-saison1-Sous-controle.html;None
107;Star Trek: Lower Decks;6;4;05-10-2023;Etats-Unis;Paramount+;episode06-409760-05102023-saison4-Star-Trek-Lower-Decks.html;None
108;Tacoma FD;12;4;05-10-2023;Etats-Unis;truTV;episode12-410643-05102023-saison4-Tacoma-FD.html;None
109;Tacoma FD;13;4;05-10-2023;Etats-Unis;truTV;episode13-410644-05102023-saison4-Tacoma-FD.html;None
110;Young Love;9;1;05-10-2023;Etats-Unis;HBO Max;episode09-410862-05102023-saison1-Young-Love.html;None
111;Young Love;10;1;05-10-2023;Etats-Unis;HBO Max;episode10-410863-05102023-saison1-Young-Love.html;None
112;Young Love;11;1;05-10-2023;Etats-Unis;HBO Max;episode11-410864-05102023-saison1-Young-Love.html;None
113;Young Love;12;1;05-10-2023;Etats-Unis;HBO Max;episode12-410865-05102023-saison1-Young-Love.html;None
114;Billions;9;7;06-10-2023;Etats-Unis;Showtime;episode09-409168-06102023-saison7-Billions.html;None
115;Demain nous appartient;35;7;06-10-2023;France;TF1;episode35-410924-06102023-saison7-Demain-nous-appartient.html;None
116;Familjen Andersson;8;1;06-10-2023;Suède;SVT Play;episode08-409539-06102023-saison1-Familjen-Andersson.html;None
117;Gaslight;4;1;06-10-2023;Suède;SVT Play;episode04-410680-06102023-saison1-Gaslight.html;None
118;Gaslight;5;1;06-10-2023;Suède;SVT Play;episode05-410681-06102023-saison1-Gaslight.html;None
119;Gaslight;6;1;06-10-2023;Suède;SVT Play;episode06-410682-06102023-saison1-Gaslight.html;None
120;Gen V;4;1;06-10-2023;Etats-Unis;Prime Video;episode04-408428-06102023-saison1-Gen-V.html;None
121;Ghosts (UK);1;5;06-10-2023;Royaume-Uni;BBC One;episode01-410534-06102023-saison5-Ghosts-(UK).html;None
122;Ghosts (UK);2;5;06-10-2023;Royaume-Uni;BBC One;episode02-410722-06102023-saison5-Ghosts-(UK).html;None
123;Ghosts (UK);3;5;06-10-2023;Royaume-Uni;BBC One;episode03-410723-06102023-saison5-Ghosts-(UK).html;None
124;Ghosts (UK);4;5;06-10-2023;Royaume-Uni;BBC One;episode04-410724-06102023-saison5-Ghosts-(UK).html;None
125;Ghosts (UK);5;5;06-10-2023;Royaume-Uni;BBC One;episode05-410725-06102023-saison5-Ghosts-(UK).html;None
126;Ghosts (UK);6;5;06-10-2023;Royaume-Uni;BBC One;episode06-410726-06102023-saison5-Ghosts-(UK).html;None
127;Huset;6;1;06-10-2023;Danemark;DR1;episode06-410716-06102023-saison1-Huset.html;None
128;Ici tout commence;30;4;06-10-2023;France;TF1;episode30-410919-06102023-saison4-Ici-tout-commence.html;None
129;Last Exit Schinkenstraße;1;1;06-10-2023;Etats-Unis;Prime Video;episode01-411018-06102023-saison1-Last-Exit-Schinkenstraße.html;None
130;Last Exit Schinkenstraße;2;1;06-10-2023;Etats-Unis;Prime Video;episode02-411019-06102023-saison1-Last-Exit-Schinkenstraße.html;None
131;Last Exit Schinkenstraße;3;1;06-10-2023;Etats-Unis;Prime Video;episode03-411020-06102023-saison1-Last-Exit-Schinkenstraße.html;None
132;Last Exit Schinkenstraße;4;1;06-10-2023;Etats-Unis;Prime Video;episode04-411021-06102023-saison1-Last-Exit-Schinkenstraße.html;None
133;Last Exit Schinkenstraße;5;1;06-10-2023;Etats-Unis;Prime Video;episode05-411022-06102023-saison1-Last-Exit-Schinkenstraße.html;None
134;Last Exit Schinkenstraße;6;1;06-10-2023;Etats-Unis;Prime Video;episode06-411023-06102023-saison1-Last-Exit-Schinkenstraße.html;None
135;Power Book IV: Force;6;2;06-10-2023;Etats-Unis;Starz;episode06-410815-06102023-saison2-Power-Book-IV-Force.html;None
136;Shoresy;3;2;06-10-2023;Canada;CraveTV;episode03-410866-06102023-saison2-Shoresy.html;None
137;SOKO Leipzig;7;24;06-10-2023;Allemagne;ZDF;episode07-410561-06102023-saison24-SOKO-Leipzig.html;None
138;Solsidan;3;8;06-10-2023;Suède;TV4;episode03-410858-06102023-saison8-Solsidan.html;None
139;Still Up;5;1;06-10-2023;Etats-Unis;Apple TV+;episode05-408946-06102023-saison1-Still-Up.html;45
140;The Changeling;7;1;06-10-2023;Etats-Unis;Apple TV+;episode07-408182-06102023-saison1-The-Changeling.html;50
141;The Continental: From The World Of John Wick;3;1;06-10-2023;Etats-Unis;Peacock;episode03-408644-06102023-saison1-The-Continental-From-The-World-Of-John-Wick.html;None
142;The Wheel of Time;8;2;06-10-2023;Etats-Unis;Prime Video;episode08-408196-06102023-saison2-The-Wheel-of-Time.html;None
143;Transplant;1;4;06-10-2023;Canada;CTV;episode01-408389-06102023-saison4-Transplant.html;None
144;Un Si Grand Soleil;26;6;06-10-2023;France;France 2;episode26-410928-06102023-saison6-Un-Si-Grand-Soleil.html;None
145;All Rise;14;3;07-10-2023;Etats-Unis;OWN;episode14-410327-07102023-saison3-All-Rise.html;None
146;Arthdal Chronicles;9;2;07-10-2023;Corée du Sud;tvN;episode09-411010-07102023-saison2-Arthdal-Chronicles.html;None
147;Boomer;6;1;07-10-2023;Belgique;Één;episode06-409827-07102023-saison1-Boomer.html;None
148;Johnson;10;3;07-10-2023;Etats-Unis;Bounce TV;episode10-410645-07102023-saison3-Johnson.html;None
149;Arthdal Chronicles;10;2;08-10-2023;Corée du Sud;tvN;episode10-411011-08102023-saison2-Arthdal-Chronicles.html;None
150;Bob's Burgers;2;14;08-10-2023;Etats-Unis;Fox;episode02-410729-08102023-saison14-Bob-s-Burgers.html;None
151;Entre Tierras;5;1;08-10-2023;Espagne;ATRESplayer;episode05-410971-08102023-saison1-Entre-Tierras.html;None
152;Family Guy;2;22;08-10-2023;Etats-Unis;Fox;episode02-410730-08102023-saison22-Family-Guy.html;None
153;Heartland (CA);2;17;08-10-2023;Canada;CBC;episode02-410535-08102023-saison17-Heartland-(CA).html;None
154;Krapopolis;4;1;08-10-2023;Etats-Unis;Fox;episode04-410328-08102023-saison1-Krapopolis.html;None
155;Last Week Tonight With John Oliver;12;10;08-10-2023;Etats-Unis;HBO;episode12-411014-08102023-saison10-Last-Week-Tonight-With-John-Oliver.html;None
156;Les Mystères de l'amour;9;33;08-10-2023;France;TMC;episode09-410595-08102023-saison33-Les-Mysteres-de-l-amour.html;None
157;SkyMed;2;2;08-10-2023;Canada;CBC Gem;episode02-410740-08102023-saison2-SkyMed.html;None
158;The Simpsons;2;35;08-10-2023;Etats-Unis;Fox;episode02-410728-08102023-saison35-The-Simpsons.html;None
159;The Walking Dead: Daryl Dixon;5;1;08-10-2023;Etats-Unis;AMC;episode05-409848-08102023-saison1-The-Walking-Dead-Daryl-Dixon.html;None
160;The Winter King;6;1;08-10-2023;Royaume-Uni;ITVX;episode06-409132-08102023-saison1-The-Winter-King.html;None
161;When Calls the Heart;11;10;08-10-2023;Etats-Unis;Hallmark Channel;episode11-407540-08102023-saison10-When-Calls-the-Heart.html;None
162;5è Rang;5;6;09-10-2023;Canada;Radio Canada;episode05-410914-09102023-saison6-5e-Rang.html;None
163;66-5;7;1;09-10-2023;France;Canal+;episode07-410555-09102023-saison1-66-5.html;None
164;66-5;8;1;09-10-2023;France;Canal+;episode08-410556-09102023-saison1-66-5.html;None
165;Alertes;17;3;09-10-2023;Canada;TVA;episode17-411030-09102023-saison3-Alertes.html;None
166;Demain nous appartient;36;7;09-10-2023;France;TF1;episode36-411033-09102023-saison7-Demain-nous-appartient.html;None
167;Harry Wild;1;2;09-10-2023;Etats-Unis;Acorn TV;episode01-410199-09102023-saison2-Harry-Wild.html;None
168;Harry Wild;2;2;09-10-2023;Etats-Unis;Acorn TV;episode02-410200-09102023-saison2-Harry-Wild.html;None
169;Ici tout commence;31;4;09-10-2023;France;TF1;episode31-411038-09102023-saison4-Ici-tout-commence.html;None
170;Infiltré(e);5;1;09-10-2023;France;France 2;episode05-410720-09102023-saison1-Infiltre(e).html;None
171;Infiltré(e);6;1;09-10-2023;France;France 2;episode06-410721-09102023-saison1-Infiltre(e).html;None
172;Kamikaze (NOR);4;1;09-10-2023;Suède;Discovery +;episode04-411031-09102023-saison1-Kamikaze-(NOR).html;None
173;Mentiras pasajeras;1;1;09-10-2023;Etats-Unis;Paramount+;episode01-410619-09102023-saison1-Mentiras-pasajeras.html;None
174;Murdoch Mysteries;2;17;09-10-2023;Canada;Citytv;episode02-410605-09102023-saison17-Murdoch-Mysteries.html;None
